Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Season
1,Luis Abram,pe PER,DF,Granada,25,1996,6.2,0,2,0,0,0.32,0,0,,9,0,0,0,0.2,0.2,0.12,-0.2,-0.2,2021-22
2,Marcos Acuña,ar ARG,DF,Sevilla,29,1991,25.1,1,16,5,31.3,0.64,0.2,0.06,0.2,21.7,1,0,0,1.5,1.5,0.09,-0.5,-0.5,2021-22
3,Martin Agirregabiria,es ESP,DF,Alavés,25,1996,18,0,4,0,0,0.22,0,0,,19.1,0,0,0,0.2,0.2,0.06,-0.2,-0.2,2021-22
4,Julen Agirrezabala,es ESP,GK,Athletic Club,20,2000,4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,2021-22
5,Sergio Agüero,ar ARG,FW,Barcelona,33,1988,1.7,1,6,1,16.7,3.58,0.6,0.17,1,12,0,0,0,1.2,1.2,0.19,-0.2,-0.2,2021-22
6,Álvaro Aguirre,es ESP,FW,Rayo Vallecano,21,2000,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,2021-22
7,Joseph Aidoo,gh GHA,DF,Celta Vigo,25,1995,29.3,0,6,1,16.7,0.2,0.03,0,0,13.3,0,0,0,0.5,0.5,0.08,-0.5,-0.5,2021-22
8,Carlos Akapo,gq EQG,DF,Cádiz,28,1993,20.5,0,10,1,10,0.49,0.05,0,0,19.8,0,0,0,0.5,0.5,0.05,-0.5,-0.5,2021-22
9,Ilias Akhomach,es ESP,FW,Barcelona,17,2004,1.4,0,4,2,50,2.9,1.45,0,0,19,0,0,0,0.2,0.2,0.05,-0.2,-0.2,2021-22
10,Paul Akouokou,ci CIV,MF,Betis,23,1997,5.7,0,2,0,0,0.35,0,0,,22.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1,2021-22
11,David Alaba,at AUT,DF,Real Madrid,29,1992,29.4,2,21,7,33.3,0.72,0.24,0.1,0.29,21.8,7,0,0,1.7,1.7,0.09,0.3,0.3,2021-22
12,Tomás Alarcón,cl CHI,MF,Cádiz,22,1999,15.8,0,15,2,13.3,0.95,0.13,0,0,24.1,0,0,0,1.2,1.2,0.08,-1.2,-1.2,2021-22
13,Jordi Alba,es ESP,DF,Barcelona,32,1989,29.4,2,31,6,19.4,1.06,0.2,0.06,0.33,23.2,1,0,0,1.8,1.8,0.06,0.2,0.2,2021-22
14,Raúl Albiol,es ESP,DF,Villarreal,35,1985,27.4,0,5,1,20,0.18,0.04,0,0,7.5,0,0,0,0.5,0.5,0.09,-0.5,-0.5,2021-22
15,Paco Alcácer,es ESP,FW,Villarreal,27,1993,8.7,1,18,7,38.9,2.06,0.8,0.06,0.14,13.5,1,0,0,3.3,3.3,0.18,-2.3,-2.3,2021-22
16,Rubén Alcaraz,es ESP,MF,Cádiz,30,1991,12.3,2,23,6,26.1,1.87,0.49,0.09,0.33,23.1,5,0,0,1.6,1.6,0.07,0.4,0.4,2021-22
17,Omar Alderete,py PAR,DF,Valencia,24,1996,26.7,2,18,5,27.8,0.67,0.19,0.11,0.4,16.7,0,0,0,0.9,0.9,0.05,1.1,1.1,2021-22
18,Iván Alejo,es ESP,MFFW,Cádiz,26,1995,11.8,2,12,4,33.3,1.01,0.34,0.17,0.5,21.5,0,0,0,1.3,1.3,0.11,0.7,0.7,2021-22
