S.No.,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,CrdY,CrdR,Gls/per 90,Ast/per 90,xG/expexted season,xA/expected season,xG/per 90,xA/per 90,Season
1,Abner,br BRA,DF,Betis,22,2000,13,7,607,6.7,0,0,2,0,0,0,1.7,0.1,0.25,0.02,2022/2023
2,Álvaro Aceves,es ESP,GK,Valladolid,19,2003,1,0,13,0.1,0,0,0,0,0,0,0,0,0,0,2022/2023
3,Marcos Acuña,ar ARG,DF,Sevilla,30,1991,30,21,"1,912",21.2,3,2,10,3,0.14,0.09,1.2,4.3,0.05,0.2,2022/2023
4,Julen Agirrezabala,es ESP,GK,Athletic Club,21,2000,8,7,675,7.5,0,0,0,0,0,0,0,0,0,0,2022/2023
5,Álvaro Aguado,es ESP,MF,Valladolid,26,1996,34,18,"1,888",21,1,2,4,0,0.05,0.1,1,2.2,0.05,0.11,2022/2023
6,Joseph Aidoo,gh GHA,DF,Celta Vigo,26,1995,35,35,"3,119",34.7,3,0,6,1,0.09,0,1,0.1,0.03,0,2022/2023
7,Sergio Akieme,es ESP,DF,Almería,24,1997,29,27,"2,297",25.5,1,0,5,0,0.04,0,1.5,2,0.06,0.08,2022/2023
8,Babatunde Akinsola,ng NGA,FW,Valladolid,19,2003,1,0,11,0.1,0,0,0,0,0,0,0,0,0,0,2022/2023
9,Paul Akouokou,ci CIV,"MF,DF",Betis,24,1997,12,3,447,5,0,0,3,0,0,0,0.2,0,0.03,0,2022/2023
10,David Alaba,at AUT,DF,Real Madrid,30,1992,23,21,"1,838",20.4,1,3,3,0,0.05,0.15,0.8,1.1,0.04,0.05,2022/2023
11,Ángel Alarcón,es ESP,FW,Barcelona,18,2004,4,0,25,0.3,0,0,0,0,0,0,,,,,2022/2023
12,Tomás Alarcón,cl CHI,MF,Cádiz,23,1999,4,2,223,2.5,0,0,2,1,0,0,0,0.1,0.01,0.03,2022/2023
13,Jordi Alba,es ESP,DF,Barcelona,33,1989,24,14,"1,419",15.8,2,3,6,1,0.13,0.19,0.8,6.2,0.05,0.4,2022/2023
14,Raúl Albiol,es ESP,DF,Villarreal,36,1985,25,24,"2,119",23.5,0,0,6,0,0,0,0.1,0,0,0,2022/2023
15,Rubén Alcaraz,es ESP,MF,Cádiz,31,1991,31,22,"2,043",22.7,3,0,11,1,0.13,0,4,1.3,0.18,0.06,2022/2023
16,Omar Alderete,py PAR,DF,Getafe,25,1996,25,23,"2,047",22.7,1,1,9,0,0.04,0.04,0.6,0.8,0.03,0.03,2022/2023
17,Iván Alejo,es ESP,"MF,FW",Cádiz,27,1995,31,13,"1,311",14.6,0,1,13,1,0,0.07,1.2,2.4,0.08,0.17,2022/2023
18,Carles Aleñá,es ESP,"MF,FW",Getafe,24,1998,35,26,"2,119",23.5,2,2,12,1,0.08,0.08,2.3,1.6,0.1,0.07,2022/2023
19,Alejandro Alfaro,es ESP,MF,Elche,20,2002,1,0,15,0.2,0,0,0,0,0,0,0,0,0,0,2022/2023
20,Ángel Algobia,es ESP,MF,Getafe,23,1999,26,11,"1,138",12.6,0,0,3,0,0,0,0.3,0.6,0.02,0.05,2022/2023
21,Mohamed Ali Cho,fr FRA,"FW,MF",Real Sociedad,18,2004,19,5,587,6.5,1,2,1,0,0.15,0.31,1.8,1.6,0.28,0.25,2022/2023
22,Domingos André Ribeiro Almeida,pt POR,MF,Valencia,22,2000,34,29,"2,539",28.2,2,4,3,0,0.07,0.14,1.4,3.4,0.05,0.12,2022/2023
23,Marcos Alonso,es ESP,DF,Barcelona,31,1990,24,11,"1,172",13,1,0,3,0,0.08,0,0.9,0.3,0.07,0.03,2022/2023
24,Carlos Álvarez,es ESP,FW,Sevilla,18,2003,1,0,10,0.1,0,0,1,0,0,0,,,,,2022/2023
25,Gastón Álvarez,uy URU,DF,Getafe,22,2000,22,16,"1,501",16.7,2,0,7,1,0.12,0,0.5,0.2,0.03,0.01,2022/2023
26,Yeray Álvarez,es ESP,DF,Athletic Club,27,1995,28,27,"2,332",25.9,1,1,7,1,0.04,0.04,0.8,1.1,0.03,0.04,2022/2023
27,Selim Amallah,ma MAR,"MF,FW",Valladolid,25,1996,7,3,267,3,2,1,2,1,0.67,0.34,0.9,0.3,0.29,0.09,2022/2023
28,Amath,sn SEN,"MF,FW",Mallorca,26,1996,28,12,"1,227",13.6,2,0,2,1,0.15,0,2.7,0.8,0.2,0.06,2022/2023
29,Jordan Amavi,fr FRA,DF,Getafe,28,1994,5,1,200,2.2,0,0,2,1,0,0,0,0,0,0,2022/2023
30,Marcos André,br BRA,"FW,MF",Valencia,25,1996,17,3,447,5,1,0,2,1,0.2,0,1.5,0.4,0.29,0.09,2022/2023
31,Fabrizio Angileri,ar ARG,DF,Getafe,28,1994,15,7,585,6.5,0,0,2,1,0,0,0.1,0,0.02,0,2022/2023
32,Josep Antoni Gayá,es ESP,"DF,MF",Mallorca,22,2000,2,1,98,1.1,0,0,0,0,0,0,0,0,0,0,2022/2023
33,José Antonio,es ESP,"MF,DF",Cádiz,18,2004,2,0,46,0.5,0,1,0,0,0,1.96,0,0,0,0.03,2022/2023
34,Anuar,ma MAR,"MF,FW",Valladolid,27,1995,3,3,210,2.3,1,0,1,0,0.43,0,0.3,0.4,0.15,0.19,2022/2023
35,Mauro Arambarri,uy URU,MF,Getafe,26,1995,13,13,992,11,0,1,5,1,0,0.09,0.2,1.5,0.02,0.14,2022/2023
